Date,Open,High,Low,Close,Volume,Adj Close
2011-04-20,25.54,26.00,25.51,25.76,61621300,25.76
2011-04-19,25.00,25.17,24.87,25.15,38892400,25.15
2011-04-18,25.10,25.28,24.72,25.08,58045100,25.08
2011-04-15,25.46,25.56,25.18,25.37,65080400,25.37
2011-04-14,25.42,25.44,25.09,25.42,55239900,25.42
2011-04-13,25.65,25.87,25.56,25.63,38144700,25.63
2011-04-12,25.83,25.85,25.55,25.64,36920400,25.64
2011-04-11,26.19,26.25,25.80,25.98,34286300,25.98
2011-04-08,26.17,26.28,25.96,26.07,39887600,26.07
2011-04-07,26.19,26.26,25.97,26.20,46134700,26.20
2011-04-06,25.98,26.31,25.86,26.15,65581400,26.15
2011-04-05,25.82,26.18,25.74,25.78,73694500,25.78
2011-04-04,25.45,25.66,25.41,25.55,35433700,25.55
2011-04-01,25.53,25.53,25.31,25.48,63114200,25.48
2011-03-31,25.60,25.68,25.34,25.39,63233700,25.39
2011-03-30,25.60,25.72,25.50,25.61,41999300,25.61
2011-03-29,25.34,25.52,25.30,25.49,40763500,25.49
2011-03-28,25.66,25.72,25.38,25.41,48973200,25.41
2011-03-25,25.93,25.95,25.59,25.62,57029800,25.62
2011-03-24,25.60,25.87,25.50,25.81,38696700,25.81
2011-03-23,25.23,25.61,25.18,25.54,43969000,25.54
2011-03-22,25.30,25.46,25.23,25.30,30895600,25.30
2011-03-21,25.18,25.58,25.15,25.33,46878100,25.33
2011-03-18,25.06,25.18,24.80,24.80,85486700,24.80
2011-03-17,25.06,25.22,24.75,24.78,62497000,24.78
2011-03-16,25.22,25.28,24.68,24.79,100725400,24.79
2011-03-15,25.08,25.47,25.00,25.39,76067300,25.39
2011-03-14,25.49,25.76,25.35,25.69,54473400,25.69
2011-03-11,25.41,25.85,25.36,25.68,49905800,25.68
2011-03-10,25.62,25.71,25.35,25.41,66549500,25.41
2011-03-09,25.81,25.98,25.66,25.89,39789100,25.89
2011-03-08,25.77,26.02,25.65,25.91,50549800,25.91
2011-03-07,26.13,26.27,25.55,25.72,64980400,25.72
2011-03-04,26.22,26.24,25.80,25.95,70437200,25.95
2011-03-03,26.26,26.40,26.18,26.20,68271500,26.20
2011-03-02,26.11,26.37,26.04,26.08,48658200,26.08
2011-03-01,26.60,26.78,26.15,26.16,60055000,26.16
2011-02-28,26.69,26.86,26.51,26.58,51379900,26.58
2011-02-25,26.91,26.95,26.50,26.55,53006300,26.55
2011-02-24,26.64,27.06,26.50,26.77,64494200,26.77
2011-02-23,26.53,26.86,26.43,26.59,60234100,26.59
2011-02-22,26.78,27.10,26.52,26.59,60889000,26.59
2011-02-18,27.13,27.21,26.99,27.06,68667800,27.06
2011-02-17,26.97,27.37,26.91,27.21,57207300,27.21
2011-02-16,27.05,27.07,26.60,27.02,70817900,27.02
2011-02-15,27.04,27.33,26.95,26.96,44116500,26.96
2011-02-14,27.21,27.27,26.95,27.23,56766200,27.07
2011-02-11,27.76,27.81,27.07,27.25,83939700,27.09
2011-02-10,27.93,27.94,27.29,27.50,76672400,27.34
2011-02-09,28.19,28.26,27.91,27.97,52905100,27.81
2011-02-08,28.10,28.34,28.05,28.28,34904200,28.11
2011-02-07,27.80,28.34,27.79,28.20,68980900,28.03
2011-02-04,27.70,27.84,27.51,27.77,40412200,27.61
2011-02-03,27.97,27.97,27.54,27.65,60340100,27.49
2011-02-02,27.93,28.11,27.88,27.94,45824000,27.78
2011-02-01,27.80,28.06,27.61,27.99,62810700,27.83
2011-01-31,27.77,27.90,27.42,27.73,65029000,27.57
2011-01-28,28.90,28.93,27.45,27.75,141249400,27.59
2011-01-27,28.75,29.46,28.49,28.87,146938600,28.70
2011-01-26,28.51,28.99,28.50,28.78,74628800,28.61
2011-01-25,28.14,28.45,28.12,28.45,42436600,28.28
2011-01-24,28.02,28.56,27.99,28.38,52047800,28.21
2011-01-21,28.40,28.43,28.02,28.02,58080300,27.86
2011-01-20,28.50,28.55,28.13,28.35,58613600,28.18
2011-01-19,28.46,28.68,28.27,28.47,50005900,28.30
2011-01-18,28.16,28.74,28.14,28.66,53322700,28.49
2011-01-14,28.08,28.38,27.91,28.30,62688400,28.13
2011-01-13,28.33,28.39,28.01,28.19,67077600,28.02
2011-01-12,28.12,28.59,28.07,28.55,52631100,28.38
2011-01-11,28.20,28.25,28.05,28.11,50298900,27.94
2011-01-10,28.26,28.40,28.04,28.22,57573600,28.05
2011-01-07,28.64,28.74,28.25,28.60,73762000,28.43
2011-01-06,28.04,28.85,27.86,28.82,87992900,28.65
2011-01-05,27.90,28.01,27.77,28.00,58998700,27.84
2011-01-04,27.94,28.17,27.85,28.09,54405600,27.92
2011-01-03,28.05,28.18,27.92,27.98,53443800,27.82
2010-12-31,27.80,27.92,27.63,27.91,24752000,27.75
2010-12-30,27.92,28.00,27.78,27.85,20786100,27.69
2010-12-29,27.94,28.12,27.88,27.97,19502500,27.81
2010-12-28,27.97,28.17,27.96,28.01,23042200,27.85
2010-12-27,28.12,28.20,27.88,28.07,21652800,27.91
2010-12-23,27.97,28.32,27.96,28.30,24902500,28.13
2010-12-22,28.01,28.40,27.98,28.19,42252300,28.02
2010-12-21,27.85,28.14,27.76,28.07,38153000,27.91
2010-12-20,27.95,27.99,27.68,27.81,52811000,27.65
2010-12-17,27.92,28.09,27.75,27.90,87456500,27.74
2010-12-16,27.76,27.99,27.66,27.99,57680200,27.83
2010-12-15,27.53,27.99,27.53,27.85,69634200,27.69
2010-12-14,27.31,27.75,27.26,27.62,64070500,27.46
2010-12-13,27.27,27.45,27.17,27.25,47943900,27.09
2010-12-10,27.19,27.40,27.11,27.34,37625800,27.18
2010-12-09,27.28,27.34,27.01,27.08,47148300,26.92
2010-12-08,26.83,27.24,26.80,27.23,41666800,27.07
2010-12-07,27.08,27.13,26.85,26.87,57860500,26.71
2010-12-06,26.93,26.98,26.76,26.84,36264200,26.68
2010-12-03,26.81,27.06,26.78,27.02,52622000,26.86
2010-12-02,26.24,26.98,26.20,26.89,91759200,26.73
2010-12-01,25.57,26.25,25.56,26.04,74123500,25.89
2010-11-30,25.05,25.47,25.00,25.26,75282100,25.11
2010-11-29,25.19,25.42,24.93,25.31,56603600,25.16
2010-11-26,25.21,25.41,25.17,25.25,21356500,25.10
2010-11-24,25.20,25.46,25.16,25.37,56825900,25.22
2010-11-23,25.57,25.60,25.09,25.12,69742500,24.97
2010-11-22,25.65,25.74,25.44,25.73,53350500,25.58
2010-11-19,25.80,25.83,25.60,25.69,52423200,25.54
2010-11-18,25.71,26.08,25.61,25.84,59514000,25.69
2010-11-17,25.90,25.91,25.55,25.57,58299700,25.42
2010-11-16,26.04,26.04,25.65,25.81,65339200,25.66
2010-11-15,26.33,26.50,26.17,26.20,51794600,25.89
2010-11-12,26.47,26.52,26.10,26.27,64962200,25.96
2010-11-11,26.68,26.72,26.28,26.68,62073100,26.36
2010-11-10,27.01,27.08,26.81,26.94,52277300,26.62
2010-11-09,26.81,27.11,26.71,26.95,58538600,26.63
2010-11-08,26.68,28.87,26.58,26.81,71670800,26.49
2010-11-05,27.17,27.19,26.53,26.85,110953700,26.53
2010-11-04,27.41,27.43,27.01,27.14,93599300,26.82
2010-11-03,27.46,27.49,26.96,27.03,110255300,26.71
2010-11-02,27.06,27.42,27.02,27.39,54402100,27.06
2010-11-01,26.88,27.22,26.70,26.95,61912100,26.63
2010-10-29,27.15,27.20,26.48,26.67,114193200,26.35
2010-10-28,26.21,26.38,25.92,26.28,80730300,25.97
2010-10-27,25.79,26.11,25.62,26.05,64805500,25.74
2010-10-26,25.12,25.97,25.06,25.90,69304200,25.59
2010-10-25,25.24,25.35,25.17,25.19,50912400,24.89
2010-10-22,25.52,25.54,25.27,25.38,25837900,25.08
2010-10-21,25.40,25.54,25.05,25.42,50032400,25.12
2010-10-20,25.26,25.40,25.10,25.31,56283600,25.01
2010-10-19,25.27,25.37,24.95,25.10,66150900,24.80
2010-10-18,25.59,25.95,25.45,25.82,48330500,25.51
2010-10-15,25.36,25.55,25.23,25.54,68954800,25.23
2010-10-14,25.29,25.34,25.00,25.23,51949100,24.93
2010-10-13,25.02,25.54,24.89,25.34,75336500,25.04
2010-10-12,24.65,24.93,24.43,24.83,50141500,24.53
2010-10-11,24.74,24.74,24.50,24.59,27587800,24.30
2010-10-08,24.62,24.65,24.37,24.57,41327800,24.28
2010-10-07,24.62,24.75,24.28,24.53,50096100,24.24
2010-10-06,24.32,24.54,24.13,24.43,50489700,24.14
2010-10-05,24.06,24.45,23.91,24.35,78152900,24.06
